Property,Expected Type,Description,URL
identifier,Text,The identifier property represents any kind of identifier for any kind of Thing,http://biothings.io/explorer/vocab/terms/identifier/
name,Text,The name of the item,http://biothings.io/explorer/vocab/terms/name/
description,Text,A description of the item,http://biothings.io/explorer/vocab/terms/description/
enabledMolecularFunction,CategoryCode,GO molecular function enabled by the protein,http://biothings.io/explorer/vocab/terms/enabledMolecularFunction/
invovledBiologicalProcess,CategoryCode,GO biological process this protein is involved in,http://biothings.io/explorer/vocab/terms/invovledBiologicalProcess/
alternateName,Text,An alias for the item,http://biothings.io/explorer/vocab/terms/alternateName/
involvedBiologicalPathway,Text,Biological pathway this gene is involved in,http://biothings.io/explorer/vocab/terms/involvedBiologicalPathway/
